,error_down,error_up,error_stay,mean_dist,total_params,file_name
411,0,1,0,132.171663580666,"11,603",802040222
412,1,0,0,133.08147209300972,"3,543",802060111
413,0,0,0,133.61445728665728,"3,543",802060111
414,0,0,0,132.07869016810213,"3,543",802060111
415,0,0,0,134.4057892386934,"3,543",802060111
416,1,0,0,132.437677155102,"14,103",802060222
417,0,0,0,131.45544558735156,"14,103",802060222
418,0,0,0,130.32419823215906,"14,103",802060222
419,0,0,0,131.52664534439228,"14,103",802060222
420,0,0,0,134.81422530949564,"4,023",802080111
421,0,0,0,134.34745537866723,"4,023",802080111
422,0,0,0,132.5488777902085,"4,023",802080111
423,0,0,0,134.90990701232334,"4,023",802080111
424,0,0,0,131.22248773283286,"17,403",802080222
425,0,0,0,130.88583463163928,"17,403",802080222
426,0,0,0,131.341387212094,"17,403",802080222
427,1,0,1,132.59528851903067,"17,403",802080222
428,0,0,0,134.0531158624001,"4,603",804020111
429,0,0,1,134.3546359112468,"4,603",804020111
430,0,0,0,133.94898425005047,"4,603",804020111
431,0,0,0,132.77277713037876,"4,603",804020111
432,0,0,0,132.71513342999805,"13,143",804020222
433,1,0,0,130.89308329647645,"13,143",804020222
434,2,0,0,131.23201780590426,"13,143",804020222
435,0,0,0,131.51241406409312,"13,143",804020222
436,0,0,2,131.63195635969288,"5,483",804040111
437,0,0,0,133.04158613008204,"5,483",804040111
438,0,0,0,134.5867788784338,"5,483",804040111
439,0,0,0,132.8396179335857,"5,483",804040111
440,0,1,0,131.77576332398218,"15,243",804040222
441,0,0,1,131.53148292702468,"15,243",804040222
442,0,1,1,131.1734468816519,"15,243",804040222
443,0,1,1,130.42798311826039,"15,243",804040222
444,0,0,0,133.16707162310527,"6,363",804060111
445,0,0,0,133.6270415462384,"6,363",804060111
446,0,0,0,133.85902987039202,"6,363",804060111
447,0,0,0,134.09199106391736,"6,363",804060111
448,0,0,0,130.59916916543065,"18,143",804060222
449,0,0,0,131.4629156236079,"18,143",804060222
450,0,0,0,132.15740974878673,"18,143",804060222
451,0,0,1,131.77544867549864,"18,143",804060222
452,1,0,0,131.8054291468075,"7,243",804080111
453,0,0,0,132.35110308349104,"7,243",804080111
454,0,0,0,134.52692988211902,"7,243",804080111
455,0,0,0,133.38463396814382,"7,243",804080111
456,1,0,2,131.6647826596555,"21,843",804080222
457,0,0,0,131.84116104616007,"21,843",804080222
458,1,0,1,130.16853958561023,"21,843",804080222
459,0,0,0,131.22902220635578,"21,843",804080222
460,0,1,0,132.81253827464894,"6,623",806020111
461,1,0,0,133.7142300455792,"6,623",806020111
462,0,0,0,132.78316599709336,"6,623",806020111
463,0,0,0,134.23179517745365,"6,623",806020111
464,1,0,2,132.22786055971534,"17,183",806020222
465,0,0,0,132.24872232074745,"17,183",806020222
466,1,0,0,131.75134393769164,"17,183",806020222
467,2,1,0,130.3855997532997,"17,183",806020222
468,0,0,0,133.3331345082707,"7,903",806040111
469,0,0,0,134.13468951708012,"7,903",806040111
470,0,0,0,135.04539746203028,"7,903",806040111
471,0,0,0,132.82613354653785,"7,903",806040111
472,0,0,1,130.4449999614852,"19,683",806040222
473,1,0,0,130.19800503425958,"19,683",806040222
474,0,0,0,131.0082064965499,"19,683",806040222
475,0,0,0,130.3961298852616,"19,683",806040222
476,0,0,0,133.82882596861896,"9,183",806060111
477,0,0,0,133.74706225045927,"9,183",806060111
478,0,0,0,133.39166498594685,"9,183",806060111
479,0,0,0,132.61114443975794,"9,183",806060111
480,0,0,0,131.3956796388897,"22,983",806060222
481,1,0,0,130.47622790462387,"22,983",806060222
482,1,0,1,131.54383498457244,"22,983",806060222
483,0,0,0,132.58447276115555,"22,983",806060222
484,0,0,0,131.2986648233424,"10,463",806080111
485,1,0,0,133.95963402817569,"10,463",806080111
486,0,0,0,132.5732455625681,"10,463",806080111
487,0,0,0,134.18625550193698,"10,463",806080111
488,0,0,0,131.1030388344463,"27,083",806080222
489,0,0,0,130.7590123325312,"27,083",806080222
490,0,0,0,129.76934956205017,"27,083",806080222
491,0,2,0,130.58426415063275,"27,083",806080222
492,0,0,0,132.57675699077038,"8,643",808020111
493,0,0,0,132.8362541645942,"8,643",808020111
494,0,0,0,133.02659826494997,"8,643",808020111
495,0,0,0,132.22977373182073,"8,643",808020111
496,0,0,0,131.79248201339595,"22,023",808020222
497,0,0,1,132.00873081829866,"22,023",808020222
498,0,0,0,132.50201891741386,"22,023",808020222
499,0,0,0,132.96593790391304,"22,023",808020222
500,0,0,0,133.65581704815736,"10,323",808040111
501,0,1,0,132.51959326811965,"10,323",808040111
502,0,0,0,134.04099956802082,"10,323",808040111
503,0,0,0,134.40654173066196,"10,323",808040111
504,0,0,0,131.8302864826956,"24,923",808040222
505,0,0,0,131.34688504887836,"24,923",808040222
506,0,0,0,130.95436649557763,"24,923",808040222
507,0,0,1,131.88639353786039,"24,923",808040222
508,1,0,0,134.04100649120386,"12,003",808060111
509,0,0,0,134.17221776709877,"12,003",808060111
510,0,0,0,133.27922057536105,"12,003",808060111
511,0,0,1,133.66067266757443,"12,003",808060111
512,0,0,0,130.3472074991788,"28,623",808060222
513,0,1,0,131.43245696417102,"28,623",808060222
514,0,0,0,130.62103481507756,"28,623",808060222
515,0,0,0,131.61341780990682,"28,623",808060222
516,0,0,0,133.86638973569546,"13,683",808080111
517,1,0,0,133.3227256183243,"13,683",808080111
518,0,0,0,134.01107892923966,"13,683",808080111
519,0,0,0,133.2426979011194,"13,683",808080111
520,0,0,0,130.90186270358987,"33,123",808080222
521,0,0,0,132.44833418215222,"33,123",808080222
522,2,0,2,130.8339218679489,"33,123",808080222
523,2,0,0,130.39496998615897,"33,123",808080222
